source_id,time,filter,mag
S251023dx,8.6,i,22.381548714459537
S251023dx,8.6,r,23.727742241795184
S251023dx,8.6,u,28.84212867013058
S251023dx,8.6,y,21.123289276806684
S251023dx,8.6,z,21.57729948042848
S251023dx,8.700000000000001,g,25.930333492269682
S251023dx,8.700000000000001,i,22.424938331498083
S251023dx,8.700000000000001,r,23.780921643064342
S251023dx,8.700000000000001,u,28.92967173014483
S251023dx,8.700000000000001,y,21.16090287905484
S251023dx,8.700000000000001,z,21.617336539216577
S251023dx,8.8,g,26.006523431228928
S251023dx,8.8,i,22.469210979230102
S251023dx,8.8,r,23.835425667767637
S251023dx,8.8,u,29.018348702725355
S251023dx,8.8,y,21.19905833583658
S251023dx,8.8,z,21.65797553523086
S251023dx,8.9,g,26.084595888598102
S251023dx,8.9,i,22.514379359504186
S251023dx,8.9,r,23.891269554405735
S251023dx,8.9,u,29.108141579051072
S251023dx,8.9,y,21.237775581875894
S251023dx,8.9,z,21.6992333978113
S251023dx,9.0,g,26.164151299555677
S251023dx,9.0,i,22.56028458942574
S251023dx,9.0,r,23.948257840673893
S251023dx,9.0,u,29.19859855706648
S251023dx,9.0,y,21.27691349643878
S251023dx,9.0,z,21.740968507294212
S251023dx,9.1,g,26.244553654093647
S251023dx,9.1,i,22.606637633799632
S251023dx,9.1,r,24.006040598600094
S251023dx,9.1,u,29.288942027965746
S251023dx,9.1,y,21.31620511508951
S251023dx,9.1,z,21.78291535818966
S251023dx,9.200000000000001,g,26.32504765239398
S251023dx,9.200000000000001,i,22.653076492541302
S251023dx,9.200000000000001,r,24.064179210846252
S251023dx,9.200000000000001,u,29.37820184080204
S251023dx,9.200000000000001,y,21.355315144699208
S251023dx,9.200000000000001,z,21.824739681355624
S251023dx,9.3,g,26.40486589327159
S251023dx,9.3,i,22.69922453404282
S251023dx,9.3,r,24.1222256312436
S251023dx,9.3,u,29.465366382503156
S251023dx,9.3,y,21.39388944007443
S251023dx,9.3,z,21.866092642618117
S251023dx,9.4,g,26.483343271454643
S251023dx,9.4,i,22.744750797118726
S251023dx,9.4,r,24.179791294232167
S251023dx,9.4,u,29.54952697932847
